"col0","col1","col2","col3"
"[summary] read: Argument[0].ArrayElement in stream","[summary] to write: ReturnValue.Element in stream",0,0
"[summary] read: Argument[0].ArrayElement in spliterator","[summary] to write: ReturnValue.Element in spliterator",0,0
"[summary] read: Argument[0].ArrayElement in asList","[summary] to write: ReturnValue.Element in asList",0,0
"[summary] read: Argument[0].ArrayElement in copyOfRange","[summary] to write: ReturnValue.ArrayElement in copyOfRange",0,0
"[summary] read: Argument[0].ArrayElement in copyOf","[summary] to write: ReturnValue.ArrayElement in copyOf",0,0
"[summary param] 0 in Thread","[summary] to write: Argument[this].SyntheticField[java.lang.Thread.name] in Thread",0,0
"[summary param] 0 in set","[summary] to write: Argument[this].SyntheticField[java.lang.ThreadLocal.value] in set",0,0
"[summary param] 0 in set","[summary] to write: Argument[this].Element in set",0,0
"[summary param] 0 in Throwable","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in Throwable",0,0
"[summary param] 0 in Throwable","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in Throwable",0,0
"[summary param] 0 in UnsupportedOperationException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in UnsupportedOperationException",0,0
"[summary param] 0 in add","[summary] to write: Argument[this].Element in add",0,0
"[summary param] 1 in add","[summary] to write: Argument[this].Element in add",0,0
"[summary param] 1 in set","[summary] to write: Argument[this].Element in set",0,0
"[summary param] 3 in fill","[summary] to write: Argument[0].ArrayElement in fill",0,0
"[summary param] 1 in fill","[summary] to write: Argument[0].ArrayElement in fill",0,0
"[summary param] 0 in setValue","[summary] to write: Argument[this].MapValue in setValue",0,0
"[summary param] 0 in forEachRemaining","[summary] to write: Argument[0].Parameter[this] in forEachRemaining",0,0
"[summary param] 0 in orElseGet","[summary] to write: Argument[0].Parameter[this] in orElseGet",0,0
"[summary param] 0 in orElse","[summary] to write: ReturnValue in orElse",0,0
"[summary param] 0 in flatMap","[summary] to write: Argument[0].Parameter[this] in flatMap",0,0
"[summary param] 0 in map","[summary] to write: Argument[0].Parameter[this] in map",0,0
"[summary param] 0 in filter","[summary] to write: Argument[0].Parameter[this] in filter",0,0
"[summary param] 0 in ifPresent","[summary] to write: Argument[0].Parameter[this] in ifPresent",0,0
"[summary param] 0 in ofNullable","[summary] to write: ReturnValue.Element in ofNullable",0,0
"[summary param] 0 in of","[summary] to write: ReturnValue.Element in of",0,0
"[summary param] 1 in getProperty","[summary] to write: ReturnValue in getProperty",0,0
"[summary param] 0 in setProperty","[summary] to write: Argument[this].MapKey in setProperty",0,0
"[summary param] 1 in setProperty","[summary] to write: Argument[this].MapValue in setProperty",0,0
"[summary param] -1 in reset","[summary] to write: ReturnValue in reset",0,0
"[summary param] -1 in skip","[summary] to write: ReturnValue in skip",0,0
"[summary param] -1 in useRadix","[summary] to write: ReturnValue in useRadix",0,0
"[summary param] -1 in useLocale","[summary] to write: ReturnValue in useLocale",0,0
"[summary param] -1 in useDelimiter","[summary] to write: ReturnValue in useDelimiter",0,0
"[summary param] 0 in addElement","[summary] to write: Argument[this].Element in addElement",0,0
"[summary param] 0 in insertElementAt","[summary] to write: Argument[this].Element in insertElementAt",0,0
"[summary param] 0 in setElementAt","[summary] to write: Argument[this].Element in setElementAt",0,0
"[summary param] 0 in push","[summary] to write: Argument[this].Element in push",0,0
"[summary param] 0 in generate","[summary] to write: Argument[0].Parameter[this] in generate",0,0
"[summary param] 0 in iterate","[summary] to write: ReturnValue.Element in iterate",0,0
"[summary param] 0 in iterate","[summary] to write: Argument[1].Parameter[0] in iterate",0,0
"[summary param] 1 in iterate","[summary] to write: Argument[1].Parameter[this] in iterate",0,0
"[summary param] 0 in noneMatch","[summary] to write: Argument[0].Parameter[this] in noneMatch",0,0
"[summary param] 0 in allMatch","[summary] to write: Argument[0].Parameter[this] in allMatch",0,0
"[summary param] 0 in anyMatch","[summary] to write: Argument[0].Parameter[this] in anyMatch",0,0
"[summary param] 0 in max","[summary] to write: Argument[0].Parameter[this] in max",0,0
"[summary param] 0 in min","[summary] to write: Argument[0].Parameter[this] in min",0,0
"[summary param] 0 in collect","[summary] to write: Argument[0].Parameter[this] in collect",0,0
"[summary param] 1 in collect","[summary] to write: Argument[1].Parameter[this] in collect",0,0
"[summary param] 2 in collect","[summary] to write: Argument[2].Parameter[this] in collect",0,0
"[summary param] 0 in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[1].Parameter[0] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[2].Parameter[0] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[1].Parameter[1] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[2].Parameter[1] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[0].Parameter[this] in reduce",0,0
"[summary param] 1 in reduce","[summary] to write: Argument[1].Parameter[this] in reduce",0,0
"[summary param] 2 in reduce","[summary] to write: Argument[2].Parameter[this] in reduce",0,0
"[summary param] 0 in forEachOrdered","[summary] to write: Argument[0].Parameter[this] in forEachOrdered",0,0
"[summary param] 0 in peek","[summary] to write: Argument[0].Parameter[this] in peek",0,0
"[summary param] 0 in sorted","[summary] to write: Argument[0].Parameter[this] in sorted",0,0
"[summary param] 0 in flatMapToDouble","[summary] to write: Argument[0].Parameter[this] in flatMapToDouble",0,0
"[summary param] 0 in flatMapToLong","[summary] to write: Argument[0].Parameter[this] in flatMapToLong",0,0
"[summary param] 0 in flatMapToInt","[summary] to write: Argument[0].Parameter[this] in flatMapToInt",0,0
"[summary param] 0 in mapToDouble","[summary] to write: Argument[0].Parameter[this] in mapToDouble",0,0
"[summary param] 0 in mapToLong","[summary] to write: Argument[0].Parameter[this] in mapToLong",0,0
"[summary param] 0 in mapToInt","[summary] to write: Argument[0].Parameter[this] in mapToInt",0,0
"[summary] read: Argument[this].Element in nextElement","[summary] to write: ReturnValue in nextElement",0,0
"[summary] read: Argument[this].MapValue in setValue","[summary] to write: ReturnValue in setValue",0,0
"[summary] read: Argument[this].MapValue in getValue","[summary] to write: ReturnValue in getValue",0,0
"[summary] read: Argument[this].MapKey in getKey","[summary] to write: ReturnValue in getKey",0,0
"[summary] read: Argument[0].MapValue in HashMap","[summary] to write: Argument[this].MapValue in HashMap",0,0
"[summary] read: Argument[0].MapKey in HashMap","[summary] to write: Argument[this].MapKey in HashMap",0,0
"[summary] read: Argument[0].MapValue in Hashtable","[summary] to write: Argument[this].MapValue in Hashtable",0,0
"[summary] read: Argument[0].MapKey in Hashtable","[summary] to write: Argument[this].MapKey in Hashtable",0,0
"[summary] read: Argument[this].Element in forEachRemaining","[summary] to write: Argument[0].Parameter[0] in forEachRemaining",0,0
"[summary] read: Argument[0].Parameter[0] in forEachRemaining","[summary] to write: Argument[this].Element in forEachRemaining",0,0
"[summary] read: Argument[this].Element in next","[summary] to write: ReturnValue in next",0,0
"[summary] read: Argument[0].MapValue in LinkedHashMap","[summary] to write: Argument[this].MapValue in LinkedHashMap",0,0
"[summary] read: Argument[0].MapKey in LinkedHashMap","[summary] to write: Argument[this].MapKey in LinkedHashMap",0,0
"[summary] read: Argument[this].Element in previous","[summary] to write: ReturnValue in previous",0,0
"[summary] read: Argument[this].Element in orElseThrow","[summary] to write: ReturnValue in orElseThrow",0,0
"[summary] read: Argument[this].Element in orElseGet","[summary] to write: ReturnValue in orElseGet",0,0
"[summary] read: Argument[0].ReturnValue in orElseGet","[summary] to write: ReturnValue in orElseGet",0,0
"[summary] read: Argument[this].Element in orElse","[summary] to write: ReturnValue in orElse",0,0
"[summary] read: Argument[this].Element in flatMap","[summary] to write: Argument[0].Parameter[0] in flatMap",0,0
"[summary] read: Argument[0].Parameter[0] in flatMap","[summary] to write: Argument[this].Element in flatMap",0,0
"[summary] read: Argument[0].ReturnValue in flatMap","[summary] to write: ReturnValue in flatMap",0,0
"[summary] read: Argument[this].Element in map","[summary] to write: Argument[0].Parameter[0] in map",0,0
"[summary] read: Argument[0].Parameter[0] in map","[summary] to write: Argument[this].Element in map",0,0
"[summary] read: Argument[0].ReturnValue in map","[summary] to write: ReturnValue.Element in map",0,0
"[summary] read: Argument[this].Element in filter","[summary] to write: ReturnValue.Element in filter",0,0
"[summary] read: Argument[this].Element in filter","[summary] to write: Argument[0].Parameter[0] in filter",0,0
"[summary] read: Argument[0].Parameter[0] in filter","[summary] to write: Argument[this].Element in filter",0,0
"[summary] read: Argument[this].Element in ifPresent","[summary] to write: Argument[0].Parameter[0] in ifPresent",0,0
"[summary] read: Argument[0].Parameter[0] in ifPresent","[summary] to write: Argument[this].Element in ifPresent",0,0
"[summary] read: Argument[this].MapValue in setProperty","[summary] to write: ReturnValue in setProperty",0,0
"[summary] read: Argument[this].MapValue in tailMap","[summary] to write: ReturnValue.MapValue in tailMap",0,0
"[summary] read: Argument[this].MapKey in tailMap","[summary] to write: ReturnValue.MapKey in tailMap",0,0
"[summary] read: Argument[this].MapValue in headMap","[summary] to write: ReturnValue.MapValue in headMap",0,0
"[summary] read: Argument[this].MapKey in headMap","[summary] to write: ReturnValue.MapKey in headMap",0,0
"[summary] read: Argument[this].MapValue in subMap","[summary] to write: ReturnValue.MapValue in subMap",0,0
"[summary] read: Argument[this].MapKey in subMap","[summary] to write: ReturnValue.MapKey in subMap",0,0
"[summary] read: Argument[this].Element in lastElement","[summary] to write: ReturnValue in lastElement",0,0
"[summary] read: Argument[this].Element in firstElement","[summary] to write: ReturnValue in firstElement",0,0
"[summary] read: Argument[this].Element in elementAt","[summary] to write: ReturnValue in elementAt",0,0
"[summary] read: Argument[this].Element in elements","[summary] to write: ReturnValue.Element in elements",0,0
"[summary] read: Argument[this].Element in copyInto","[summary] to write: Argument[0].ArrayElement in copyInto",0,0
"[summary] read: Argument[0].Element in Vector","[summary] to write: Argument[this].Element in Vector",0,0
"[summary] read: Argument[this].Element in peek","[summary] to write: ReturnValue in peek",0,0
"[summary] read: Argument[this].Element in peek","[summary] to write: ReturnValue.Element in peek",0,0
"[summary] read: Argument[this].Element in peek","[summary] to write: Argument[0].Parameter[0] in peek",0,0
"[summary] read: Argument[this].Element in pop","[summary] to write: ReturnValue in pop",0,0
"[summary] read: Argument[this].SyntheticField[java.util.concurrent.Future.value] in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[this].Element in onClose","[summary] to write: ReturnValue.Element in onClose",0,0
"[summary] read: Argument[this].Element in unordered","[summary] to write: ReturnValue.Element in unordered",0,0
"[summary] read: Argument[this].Element in parallel","[summary] to write: ReturnValue.Element in parallel",0,0
"[summary] read: Argument[this].Element in sequential","[summary] to write: ReturnValue.Element in sequential",0,0
"[summary] read: Argument[0].Element in concat","[summary] to write: ReturnValue.Element in concat",0,0
"[summary] read: Argument[1].Element in concat","[summary] to write: ReturnValue.Element in concat",0,0
"[summary] read: Argument[0].ReturnValue in generate","[summary] to write: ReturnValue.Element in generate",0,0
"[summary] read: Argument[1].Parameter[0] in iterate","[summary] to write: Argument[0] in iterate",0,0
"[summary] read: Argument[1].Parameter[0] in iterate","[summary] to write: ReturnValue.Element in iterate",0,0
"[summary] read: Argument[1].ReturnValue in iterate","[summary] to write: ReturnValue.Element in iterate",0,0
"[summary] read: Argument[1].ReturnValue in iterate","[summary] to write: Argument[1].Parameter[0] in iterate",0,0
"[summary] read: Argument[0].ArrayElement in of","[summary] to write: ReturnValue.Element in of",0,0
"[summary] read: Argument[this].Element in findAny","[summary] to write: ReturnValue.Element in findAny",0,0
"[summary] read: Argument[this].Element in findFirst","[summary] to write: ReturnValue.Element in findFirst",0,0
"[summary] read: Argument[this].Element in noneMatch","[summary] to write: Argument[0].Parameter[0] in noneMatch",0,0
"[summary] read: Argument[0].Parameter[0] in noneMatch","[summary] to write: Argument[this].Element in noneMatch",0,0
"[summary] read: Argument[this].Element in allMatch","[summary] to write: Argument[0].Parameter[0] in allMatch",0,0
"[summary] read: Argument[0].Parameter[0] in allMatch","[summary] to write: Argument[this].Element in allMatch",0,0
"[summary] read: Argument[this].Element in anyMatch","[summary] to write: Argument[0].Parameter[0] in anyMatch",0,0
"[summary] read: Argument[0].Parameter[0] in anyMatch","[summary] to write: Argument[this].Element in anyMatch",0,0
"[summary] read: Argument[this].Element in max","[summary] to write: ReturnValue.Element in max",0,0
"[summary] read: Argument[this].Element in max","[summary] to write: Argument[0].Parameter[0] in max",0,0
"[summary] read: Argument[this].Element in max","[summary] to write: Argument[0].Parameter[1] in max",0,0
"[summary] read: Argument[0].Parameter[0] in max","[summary] to write: Argument[this].Element in max",0,0
"[summary] read: Argument[0].Parameter[1] in max","[summary] to write: Argument[this].Element in max",0,0
"[summary] read: Argument[this].Element in min","[summary] to write: ReturnValue.Element in min",0,0
"[summary] read: Argument[this].Element in min","[summary] to write: Argument[0].Parameter[0] in min",0,0
"[summary] read: Argument[this].Element in min","[summary] to write: Argument[0].Parameter[1] in min",0,0
"[summary] read: Argument[0].Parameter[0] in min","[summary] to write: Argument[this].Element in min",0,0
"[summary] read: Argument[0].Parameter[1] in min","[summary] to write: Argument[this].Element in min",0,0
"[summary] read: Argument[this].Element in collect","[summary] to write: Argument[1].Parameter[1] in collect",0,0
"[summary] read: Argument[1].Parameter[0] in collect","[summary] to write: ReturnValue in collect",0,0
"[summary] read: Argument[1].Parameter[0] in collect","[summary] to write: Argument[1].Parameter[0] in collect",0,0
"[summary] read: Argument[1].Parameter[0] in collect","[summary] to write: Argument[2].Parameter[0] in collect",0,0
"[summary] read: Argument[1].Parameter[0] in collect","[summary] to write: Argument[2].Parameter[1] in collect",0,0
"[summary] read: Argument[2].Parameter[0] in collect","[summary] to write: ReturnValue in collect",0,0
"[summary] read: Argument[2].Parameter[0] in collect","[summary] to write: Argument[1].Parameter[0] in collect",0,0
"[summary] read: Argument[2].Parameter[0] in collect","[summary] to write: Argument[2].Parameter[0] in collect",0,0
"[summary] read: Argument[2].Parameter[0] in collect","[summary] to write: Argument[2].Parameter[1] in collect",0,0
"[summary] read: Argument[1].Parameter[1] in collect","[summary] to write: Argument[this].Element in collect",0,0
"[summary] read: Argument[2].Parameter[1] in collect","[summary] to write: ReturnValue in collect",0,0
"[summary] read: Argument[2].Parameter[1] in collect","[summary] to write: Argument[1].Parameter[0] in collect",0,0
"[summary] read: Argument[2].Parameter[1] in collect","[summary] to write: Argument[2].Parameter[0] in collect",0,0
"[summary] read: Argument[2].Parameter[1] in collect","[summary] to write: Argument[2].Parameter[1] in collect",0,0
"[summary] read: Argument[0].ReturnValue in collect","[summary] to write: ReturnValue in collect",0,0
"[summary] read: Argument[0].ReturnValue in collect","[summary] to write: Argument[1].Parameter[0] in collect",0,0
"[summary] read: Argument[0].ReturnValue in collect","[summary] to write: Argument[2].Parameter[0] in collect",0,0
"[summary] read: Argument[0].ReturnValue in collect","[summary] to write: Argument[2].Parameter[1] in collect",0,0
"[summary] read: Argument[this].Element in reduce","[summary] to write: Argument[1].Parameter[0] in reduce",0,0
"[summary] read: Argument[this].Element in reduce","[summary] to write: Argument[1].Parameter[1] in reduce",0,0
"[summary] read: Argument[this].Element in reduce","[summary] to write: ReturnValue.Element in reduce",0,0
"[summary] read: Argument[this].Element in reduce","[summary] to write: Argument[0].Parameter[0] in reduce",0,0
"[summary] read: Argument[this].Element in reduce","[summary] to write: Argument[0].Parameter[1] in reduce",0,0
"[summary] read: Argument[1].Parameter[0] in reduce","[summary] to write: Argument[0] in reduce",0,0
"[summary] read: Argument[1].Parameter[0] in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary] read: Argument[1].Parameter[0] in reduce","[summary] to write: Argument[this].Element in reduce",0,0
"[summary] read: Argument[2].Parameter[0] in reduce","[summary] to write: Argument[0] in reduce",0,0
"[summary] read: Argument[2].Parameter[0] in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary] read: Argument[1].Parameter[1] in reduce","[summary] to write: Argument[0] in reduce",0,0
"[summary] read: Argument[1].Parameter[1] in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary] read: Argument[1].Parameter[1] in reduce","[summary] to write: Argument[this].Element in reduce",0,0
"[summary] read: Argument[2].Parameter[1] in reduce","[summary] to write: Argument[0] in reduce",0,0
"[summary] read: Argument[2].Parameter[1] in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary] read: Argument[1].ReturnValue in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary] read: Argument[1].ReturnValue in reduce","[summary] to write: Argument[1].Parameter[0] in reduce",0,0
"[summary] read: Argument[1].ReturnValue in reduce","[summary] to write: Argument[2].Parameter[0] in reduce",0,0
"[summary] read: Argument[1].ReturnValue in reduce","[summary] to write: Argument[1].Parameter[1] in reduce",0,0
"[summary] read: Argument[1].ReturnValue in reduce","[summary] to write: Argument[2].Parameter[1] in reduce",0,0
"[summary] read: Argument[2].ReturnValue in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary] read: Argument[2].ReturnValue in reduce","[summary] to write: Argument[1].Parameter[0] in reduce",0,0
"[summary] read: Argument[2].ReturnValue in reduce","[summary] to write: Argument[2].Parameter[0] in reduce",0,0
"[summary] read: Argument[2].ReturnValue in reduce","[summary] to write: Argument[2].Parameter[1] in reduce",0,0
"[summary] read: Argument[0].Parameter[0] in reduce","[summary] to write: Argument[this].Element in reduce",0,0
"[summary] read: Argument[0].Parameter[1] in reduce","[summary] to write: Argument[this].Element in reduce",0,0
"[summary] read: Argument[0].ReturnValue in reduce","[summary] to write: ReturnValue.Element in reduce",0,0
"[summary] read: Argument[0].ReturnValue in reduce","[summary] to write: Argument[0].Parameter[0] in reduce",0,0
"[summary] read: Argument[0].ReturnValue in reduce","[summary] to write: Argument[0].Parameter[1] in reduce",0,0
"[summary] read: Argument[this].Element in forEachOrdered","[summary] to write: Argument[0].Parameter[0] in forEachOrdered",0,0
"[summary] read: Argument[0].Parameter[0] in forEachOrdered","[summary] to write: Argument[this].Element in forEachOrdered",0,0
"[summary] read: Argument[this].Element in skip","[summary] to write: ReturnValue.Element in skip",0,0
"[summary] read: Argument[this].Element in limit","[summary] to write: ReturnValue.Element in limit",0,0
"[summary] read: Argument[0].Parameter[0] in peek","[summary] to write: Argument[this].Element in peek",0,0
"[summary] read: Argument[this].Element in sorted","[summary] to write: ReturnValue.Element in sorted",0,0
"[summary] read: Argument[this].Element in sorted","[summary] to write: Argument[0].Parameter[0] in sorted",0,0
"[summary] read: Argument[this].Element in sorted","[summary] to write: Argument[0].Parameter[1] in sorted",0,0
"[summary] read: Argument[0].Parameter[0] in sorted","[summary] to write: Argument[this].Element in sorted",0,0
"[summary] read: Argument[0].Parameter[1] in sorted","[summary] to write: Argument[this].Element in sorted",0,0
"[summary] read: Argument[this].Element in distinct","[summary] to write: ReturnValue.Element in distinct",0,0
"[summary] read: Argument[this].Element in flatMapToDouble","[summary] to write: Argument[0].Parameter[0] in flatMapToDouble",0,0
"[summary] read: Argument[0].Parameter[0] in flatMapToDouble","[summary] to write: Argument[this].Element in flatMapToDouble",0,0
"[summary] read: Argument[this].Element in flatMapToLong","[summary] to write: Argument[0].Parameter[0] in flatMapToLong",0,0
"[summary] read: Argument[0].Parameter[0] in flatMapToLong","[summary] to write: Argument[this].Element in flatMapToLong",0,0
"[summary] read: Argument[this].Element in flatMapToInt","[summary] to write: Argument[0].Parameter[0] in flatMapToInt",0,0
"[summary] read: Argument[0].Parameter[0] in flatMapToInt","[summary] to write: Argument[this].Element in flatMapToInt",0,0
"[summary] read: Argument[0].ReturnValue.Element in flatMap","[summary] to write: ReturnValue.Element in flatMap",0,0
"[summary] read: Argument[this].Element in mapToDouble","[summary] to write: Argument[0].Parameter[0] in mapToDouble",0,0
"[summary] read: Argument[0].Parameter[0] in mapToDouble","[summary] to write: Argument[this].Element in mapToDouble",0,0
